index	g id	t id	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20
0	g1	t1	0	3	0	0	0	0	0	0	0	4	0	0	0	4	0	1	0	2	0	0
1	g1	t2	5	1	0	1	2	2	0	0	0	3	0	0	3	1	3	0	7	1	0	1
2	g1	t3	6	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	4	0	3	7
3	g1	t4	0	0	6	0	0	4	3	3	3	6	1	0	0	4	0	0	4	0	0	3
4	g1	t5	4	0	5	0	0	5	0	3	3	0	0	5	0	4	0	0	5	5	0	2
5	g1	t6	0	1	1	0	0	6	0	1	8	8	0	0	4	3	0	2	1	5	1	0
6	g1	t7	0	0	0	0	3	3	5	7	0	0	1	3	4	0	5	0	5	0	5	1
7	g1	t8	0	0	0	0	0	0	0	2	4	0	0	1	2	0	0	1	0	2	2	2
8	g1	t9	0	0	2	3	0	0	0	0	2	4	0	1	1	0	2	1	5	0	0	0
9	g1	t10	1	0	1	0	0	5	0	4	0	4	0	0	4	3	3	1	0	0	3	3
10	g10	t11	0	4	3	3	0	0	2	4	3	1	0	1	0	0	0	1	0	1	2	0
11	g10	t12	0	0	0	3	0	6	2	3	3	4	0	6	2	0	0	7	0	3	0	4
12	g10	t13	0	5	3	0	1	2	0	0	4	0	0	5	0	3	4	2	2	2	0	5
13	g10	t14	3	2	2	3	4	0	1	0	0	0	0	0	5	0	2	3	0	0	0	2
14	g10	t15	5	4	5	0	0	4	1	2	5	6	3	2	3	0	0	0	0	0	4	0
15	g10	t16	3	4	2	3	0	0	0	0	3	0	0	3	0	0	0	0	4	0	0	3
16	g10	t17	0	1	0	0	2	0	0	3	1	5	0	3	0	2	1	0	0	6	3	1
17	g10	t18	2	3	2	3	0	1	2	2	2	0	1	1	0	0	4	0	3	0	0	6
18	g10	t19	0	0	7	3	4	1	3	6	4	0	0	0	0	3	0	0	4	5	3	0
19	g10	t20	0	3	2	0	0	0	1	0	0	3	0	4	0	0	5	2	0	4	4	2
20	g100	t21	3	1	0	0	0	2	0	0	0	0	0	3	2	2	5	0	2	0	2	2
21	g100	t22	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	6	0
22	g100	t23	3	0	2	0	1	3	2	3	0	0	0	3	2	6	2	4	1	0	0	0
23	g100	t24	0	2	0	0	2	0	8	0	1	0	4	0	0	7	3	0	3	3	0	3
24	g100	t25	0	2	4	2	0	3	0	0	2	0	1	5	0	0	0	0	3	3	0	0
25	g100	t26	0	0	0	0	0	0	3	0	3	0	4	0	0	0	0	0	7	0	4	5
26	g100	t27	3	4	5	6	2	0	0	0	0	0	1	0	1	2	4	2	5	0	0	0
27	g100	t28	0	1	0	0	0	0	3	0	3	0	0	3	6	0	0	0	4	4	2	0
28	g100	t29	0	3	0	0	0	2	0	5	2	0	0	3	2	4	2	1	0	4	7	0
29	g100	t30	2	0	2	0	1	0	4	0	0	3	0	5	2	0	0	0	0	0	0	0
30	g100	t31	1	5	0	0	0	1	3	4	0	2	0	3	0	0	0	2	0	0	0	0
31	g101	t32	0	0	0	3	3	0	4	5	1	7	0	3	2	0	6	0	0	0	0	0
32	g101	t33	0	4	0	8	0	0	0	0	2	0	0	0	3	0	3	0	2	0	3	0
33	g101	t34	5	2	0	2	0	3	5	0	1	0	2	3	0	2	0	3	0	0	5	3
34	g101	t35	4	2	6	3	0	4	1	6	0	5	0	4	5	0	0	0	0	2	2	0
35	g101	t36	0	0	3	0	0	0	4	0	0	4	0	0	0	3	1	0	4	0	2	0
36	g101	t37	0	3	2	5	3	0	4	0	3	4	3	0	0	0	2	5	4	2	3	0
37	g101	t38	1	0	0	2	0	3	4	0	0	4	0	0	2	3	0	3	0	4	0	4
38	g101	t39	0	2	0	0	0	0	0	2	5	2	3	3	8	0	3	0	0	0	0	0
39	g101	t40	0	4	0	4	3	0	4	4	0	4	0	0	0	5	0	1	0	4	0	2
40	g101	t41	4	0	6	4	0	5	0	4	4	0	0	0	6	0	3	0	0	0	3	2
41	g101	t42	4	0	6	0	0	0	0	0	2	2	4	4	0	0	3	7	0	0	0	0
42	g102	t43	0	0	0	6	4	0	2	0	3	0	2	3	2	0	0	1	3	3	0	0
43	g102	t44	1	0	0	5	8	1	4	3	0	2	0	0	0	0	1	0	0	0	3	2
44	g102	t45	0	0	4	0	6	0	1	0	3	0	0	0	0	0	4	0	4	1	2	0
45	g102	t46	0	5	0	2	0	0	5	0	2	0	0	0	2	2	3	0	7	2	0	4
46	g102	t47	0	0	0	2	0	0	1	3	0	0	0	0	0	0	3	3	0	3	0	4
47	g102	t48	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	5	0	0	4
48	g103	t49	2	5	1	2	0	0	0	0	2	0	3	3	0	3	0	0	0	1	0	1
