g id	ids	ids pert	comparison	sample id
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	test	f10
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	test	f4
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	test	f14
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	test	f18
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	test	f6
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	test	f9
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	test	f19
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	test	f6
g101	t32;t34;t36;t38;t42	t33;t35;t37;t39;t40;t41	test	f17
g101	t32;t34;t36;t38;t42	t33;t35;t37;t39;t40;t41	test	f9
g101	t32;t34;t36;t38;t42	t33;t35;t37;t39;t40;t41	test	f18
g102	t43;t46;t47	t44;t45;t48	test	f3
g102	t43;t46;t47	t44;t45;t48	test	f18
g102	t43;t46;t47	t44;t45;t48	test	f8
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	test	f17
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	test	f4
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	test	f20
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	test	f6
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	test	f13
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	test	f7
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	test	f3
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	test	f2
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	test	f17
g106	t83;t84;t85;t87	t80;t81;t82;t86	test	f14
g106	t83;t84;t85;t87	t80;t81;t82;t86	test	f18
g106	t83;t84;t85;t87	t80;t81;t82;t86	test	f3
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	test	f3
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	test	f20
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	test	f6
g108	t102;t107	t100;t101;t103;t104;t105;t106	test	f9
g108	t102;t107	t100;t101;t103;t104;t105;t106	test	f18
g108	t102;t107	t100;t101;t103;t104;t105;t106	test	f1
g109	t109;t112;t113;t115	t108;t110;t111;t114	test	f13
g109	t109;t112;t113;t115	t108;t110;t111;t114	test	f11
g109	t109;t112;t113;t115	t108;t110;t111;t114	test	f19
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	test	f17
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	test	f2
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	test	f13
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	test	f8
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	test	f12
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	test	f20
g111	t138;t139;t140;t144;t146	t137;t141;t142;t143;t145;t147;t148;t149	test	f7
g111	t138;t139;t140;t144;t146	t137;t141;t142;t143;t145;t147;t148;t149	test	f9
g111	t138;t139;t140;t144;t146	t137;t141;t142;t143;t145;t147;t148;t149	test	f6
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	test	f6
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	test	f7
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	test	f18
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	test	f14
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	test	f12
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	test	f15
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	test	f13
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	test	f4
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	test	f20
g115	t185;t187;t189;t190;t196;t197	t184;t186;t188;t191;t192;t193;t194;t195;t198	test	f10
g115	t185;t187;t189;t190;t196;t197	t184;t186;t188;t191;t192;t193;t194;t195;t198	test	f7
g116	t199;t202;t203	t200;t201;t204;t205;t206	test	f11
