t id	g id
t1	g1
t2	g1
t3	g1
t4	g1
t5	g1
t6	g1
t7	g1
t8	g1
t9	g1
t10	g1
t11	g10
t12	g10
t13	g10
t14	g10
t15	g10
t16	g10
t17	g10
t18	g10
t19	g10
t20	g10
t21	g100
t22	g100
t23	g100
t24	g100
t25	g100
t26	g100
t27	g100
t28	g100
t29	g100
t30	g100
t31	g100
t32	g101
t33	g101
t34	g101
t35	g101
t36	g101
t37	g101
t38	g101
t39	g101
t40	g101
t41	g101
t42	g101
t43	g102
t44	g102
t45	g102
t46	g102
t47	g102
t48	g102
t49	g103
t50	g103
t51	g103
t52	g103
t53	g103
t54	g103
t55	g103
t56	g103
t57	g103
t58	g104
t59	g104
t60	g104
t61	g104
t62	g104
t63	g104
t64	g104
t65	g104
t66	g104
t67	g104
t68	g105
t69	g105
t70	g105
t71	g105
t72	g105
t73	g105
t74	g105
t75	g105
t76	g105
t77	g105
t78	g105
t79	g105
t80	g106
t81	g106
t82	g106
t83	g106
t84	g106
t85	g106
t86	g106
t87	g106
t88	g107
t89	g107
t90	g107
t91	g107
t92	g107
t93	g107
t94	g107
t95	g107
t96	g107
t97	g107
t98	g107
t99	g107
t100	g108
t101	g108
t102	g108
t103	g108
t104	g108
t105	g108
t106	g108
t107	g108
t108	g109
t109	g109
t110	g109
t111	g109
t112	g109
t113	g109
t114	g109
t115	g109
t116	g11
t117	g11
t118	g11
t119	g11
t120	g11
t121	g11
t122	g11
t123	g11
t124	g11
t125	g110
t126	g110
t127	g110
t128	g110
t129	g110
t130	g110
t131	g110
t132	g110
t133	g110
t134	g110
t135	g110
t136	g110
t137	g111
t138	g111
t139	g111
t140	g111
t141	g111
t142	g111
t143	g111
t144	g111
t145	g111
t146	g111
t147	g111
t148	g111
t149	g111
t150	g112
t151	g112
t152	g112
t153	g112
t154	g112
t155	g112
t156	g112
t157	g112
t158	g112
t159	g112
t160	g112
t161	g112
t162	g113
t163	g113
t164	g113
t165	g113
t166	g113
t167	g113
t168	g113
t169	g113
t170	g113
