t id t1	t id t2
t799	t506
t494	t743
t173	t57
t48	t1427
t442	t786
t1602	t426
t611	t1365
t1099	t787
t615	t1538
t891	t559
t1867	t1968
t271	t1331
t704	t1647
t743	t1271
t1140	t620
t315	t1296
t183	t497
t1873	t1797
t399	t553
t634	t1601
t671	t1385
t793	t1004
t1793	t501
t21	t290
t613	t93
t62	t1105
t924	t1426
t361	t384
t1803	t1463
t852	t1595
t1975	t1151
t1	t497
t1668	t539
t513	t1147
t1883	t994
t1997	t1447
t1131	t1345
t954	t1117
t110	t236
t1225	t664
t1849	t1883
t1095	t756
t87	t254
t1492	t545
t776	t1122
t1241	t477
t1140	t1033
t1775	t1580
t852	t1974
t489	t1020
t1714	t128
t217	t426
t1733	t510
t175	t1373
t783	t620
t168	t1458
t1252	t1366
t1879	t404
t717	t1637
t1680	t409
t1590	t883
t1707	t916
t1737	t1653
t1820	t1866
t824	t199
t1248	t23
t331	t1917
t1699	t215
t251	t874
t1907	t1046
t961	t1644
t1065	t1001
t258	t898
t1295	t662
t659	t859
t1776	t1780
t2000	t1915
t1937	t98
t75	t163
t606	t1147
t373	t1869
t1476	t1213
t1190	t926
t1210	t1732
t832	t1501
t1962	t49
t1498	t426
t1889	t1855
t1303	t1425
t1460	t1396
t1505	t1600
t1356	t387
t1938	t1217
t644	t673
t1859	t198
t906	t1208
t1210	t573
t655	t1415
t1206	t911
t900	t1687
t964	t614
t77	t49
t1071	t1847
t593	t1265
t1839	t1765
t956	t1646
t644	t766
t854	t112
t45	t474
t303	t1712
t718	t276
t288	t1239
t23	t949
t996	t933
t475	t103
t260	t842
t1556	t1592
t1610	t506
t950	t488
t1668	t1284
t922	t1019
t1869	t831
t371	t1489
t771	t497
t105	t641
t1351	t1837
t783	t223
t714	t1992
t988	t1608
t322	t1419
t745	t1217
t191	t834
t1816	t1204
t1965	t1835
t625	t164
t1867	t725
t286	t678
t1650	t1799
t331	t872
t972	t524
t811	t1569
t1187	t1598
t1330	t1466
t80	t1361
t1573	t1279
t781	t202
t1140	t210
t8	t771
t1398	t1535
t402	t1186
t487	t659
t1023	t775
t987	t1786
t874	t1810
t517	t946
t643	t1114
t80	t705
t1013	t1689
t228	t1982
t595	t1658
t908	t599
t333	t274
t1284	t1626
t121	t1922
t398	t1605
t677	t988
t53	t1363
t182	t73
t1798	t1895
t748	t235
t1668	t678
t1088	t686
t494	t820
t658	t510
t1611	t1070
t1340	t1445
t556	t383
t249	t185
t1064	t819
t1223	t138
t769	t1113
t1739	t204
t1242	t320
t841	t1093
t1542	t754
t915	t181
t1741	t1584
t1090	t1644
t1816	t1293
t1514	t1756
t1258	t1621
t714	t1123
t688	t94
t361	t236
t1155	t1689
t547	t539
t968	t1843
t740	t1626
t78	t1093
t947	t1015
t1043	t166
t168	t1135
t1130	t94
t628	t560
t1836	t1946
t1130	t98
t175	t1686
t565	t1789
t1685	t1674
t27	t1930
t1934	t1970
t1995	t1663
t1989	t64
t1969	t390
t1904	t1604
t379	t605
t369	t1262
t1523	t1771
t1391	t603
t1840	t204
t1263	t1605
t642	t1211
t521	t859
t22	t449
t1763	t1066
t1920	t891
t837	t512
t1991	t1208
t458	t661
t1332	t1864
t764	t270
t72	t986
t1284	t1630
t35	t1090
t1837	t313
t325	t1702
t249	t634
t625	t1731
t1824	t446
t620	t1323
t1452	t1801
t487	t1783
t817	t1165
t265	t1504
t1805	t1811
t1907	t591
t485	t310
t1636	t1192
t188	t1173
t1	t1348
t1007	t362
t1839	t1161
t790	t1980
t676	t925
t1730	t120
t296	t980
t1954	t980
t1236	t626
t1422	t1189
t1169	t859
t1804	t126
t1073	t280
t1588	t1294
t666	t1510
t1783	t13
t200	t1352
t908	t1418
t1918	t1050
t1116	t853
t1436	t323
t369	t839
t1101	t1576
t1141	t1724
t463	t571
t129	t253
t362	t847
t1615	t1306
t1009	t1031
t809	t477
t1498	t1358
t1106	t418
t128	t981
t38	t210
t1061	t1458
t629	t1568
t609	t1297
t1271	t1142
t1380	t710
t611	t148
t121	t977
t162	t1845
t1069	t515
t1199	t226
t1134	t1254
t1809	t1930
t312	t911
t606	t142
t970	t425
t1293	t1901
t1067	t1090
t881	t1771
t1174	t29
t1047	t707
t735	t563
t1816	t1895
t727	t982
t168	t1578
t1230	t50
t793	t586
t207	t888
t435	t1888
t701	t1192
t863	t1403
t448	t1147
t90	t1053
t1501	t1127
t527	t17
t1921	t1261
t1514	t1021
t1	t467
t742	t549
t961	t1835
t498	t630
t72	t1204
t495	t433
t97	t1910
t982	t1829
t710	t585
t805	t101
t1322	t1828
t698	t1088
t287	t30
t1788	t280
t649	t1500
t521	t1245
t547	t598
t1111	t1438
t1426	t1814
t677	t1569
t1358	t1646
t1519	t1127
t889	t1930
t19	t558
t1142	t808
t211	t1618
t1768	t1779
t1713	t1675
t227	t576
t788	t1373
t695	t1511
t1520	t777
t1163	t837
t1654	t64
t1603	t1663
t1883	t1663
t1072	t431
t385	t339
t451	t1829
t882	t694
t1786	t898
t1415	t1247
t1730	t190
t1837	t1038
t831	t1568
t1986	t829
t1163	t1706
t1670	t1000
t1954	t1936
t924	t995
t27	t1314
t1711	t850
t801	t1749
t1950	t1822
t1137	t170
t1202	t1826
t525	t1852
t1831	t1371
t424	t758
t1530	t808
t1187	t1504
t917	t601
t478	t1764
t1397	t1266
t1532	t1282
t72	t866
t1908	t1867
t1852	t452
t318	t1851
t1544	t859
t562	t903
t1736	t309
t866	t1812
t1697	t1615
t670	t648
t1883	t1168
t180	t692
t912	t268
t906	t1818
t1014	t533
t1221	t1370
t1818	t1635
t1019	t1358
t1789	t460
t1837	t898
t612	t270
t372	t1145
t1361	t1947
t90	t906
t800	t1143
t1727	t1429
t1022	t1721
t1400	t341
t399	t1135
t297	t115
t1099	t1716
t156	t842
t1209	t1133
t1414	t1604
t336	t1058
t1861	t1655
t1420	t1360
t245	t1503
t1414	t113
t1887	t1206
t799	t1777
t998	t1300
t841	t1431
t753	t279
t1830	t391
t11	t654
t872	t1971
t947	t1957
t1603	t686
t1689	t484
t712	t691
t235	t1304
t464	t265
t1992	t681
t1681	t339
t867	t842
t830	t446
t1707	t1058
t1575	t1304
t499	t137
t328	t1006
t1449	t1588
t1708	t1991
t1756	t100
t722	t1482
t731	t135
t564	t1486
t1843	t1744
t739	t591
t439	t766
t406	t1472
t797	t11
t773	t1459
t963	t1148
t1785	t911
t1822	t1962
t1628	t1777
t1489	t648
t1383	t40
t1234	t1966
t1001	t481
t1287	t559
t1821	t445
t1539	t1674
t56	t94
t764	t701
t914	t835
t1772	t1794
t1263	t469
t1933	t578
t1832	t1188
t441	t826
t1046	t238
t1555	t313
t21	t431
t1918	t1662
t538	t722
t702	t1715
t866	t592
t743	t1208
t631	t1583
t1927	t381
t1351	t126
t511	t1899
t797	t1628
t1802	t1387
t162	t1701
t665	t425
t1207	t1375
t1793	t337
t1159	t1813
t228	t961
t494	t71
t365	t1060
t1706	t1921
t549	t1422
t1344	t489
t533	t1215
t1341	t1465
t1492	t933
t1214	t1430
t665	t925
t1917	t1541
t1275	t340
t863	t328
t612	t1861
t1690	t994
t294	t1995
t1976	t1387
t1089	t489
t305	t1394
t369	t1006
t1918	t1913
t1539	t210
t585	t678
t1538	t899
t1140	t1460
t711	t1021
t921	t365
t1748	t190
t740	t277
t255	t82
t1349	t657
t269	t1093
t1315	t1686
t451	t1203
t1414	t334
t1964	t111
t1383	t1605
t280	t1274
t1827	t14
t1734	t1660
t1081	t635
t1712	t112
t449	t1648
t927	t60
